true label,predicted_label
-1,-1
1,1
-1,-1
1,1
-1,-1
1,1
-1,1
-1,-1
-1,-1
1,1
-1,-1
-1,-1
1,1
-1,-1
1,1
1,1
-1,-1
1,1
1,1
1,1
1,1
-1,-1
-1,-1
-1,-1
1,1
1,1
1,1
1,1
-1,-1
1,1
-1,-1
1,1
-1,-1
-1,-1
-1,-1
1,1
1,1
-1,1
1,-1
1,1
1,1
1,1
-1,-1
1,1
-1,-1
1,-1
1,1
-1,-1
1,1
-1,-1
-1,-1
1,1
1,1
-1,-1
-1,-1
-1,-1
1,1
1,1
-1,-1
1,1
1,1
1,1
-1,-1
1,1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
-1,-1
1,1
1,1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
1,1
1,1
1,1
1,1
-1,-1
1,1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
1,1
1,1
-1,-1
1,1
-1,-1
1,1
1,1
-1,-1
-1,1
1,1
-1,-1
-1,-1
1,1
-1,-1
1,1
1,1
1,1
1,1
1,1
-1,-1
-1,1
-1,-1
1,1
1,1
1,1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
1,1
-1,1
1,1
-1,-1
-1,-1
1,1
-1,-1
-1,-1
1,1
-1,-1
-1,-1
1,1
1,1
1,1
-1,-1
1,1
-1,-1
1,1
-1,-1
-1,-1
1,1
1,1
1,1
1,1
-1,-1
-1,-1
1,1
1,1
1,1
-1,-1
-1,-1
1,1
1,1
-1,-1
1,1
1,1
-1,-1
-1,-1
1,1
1,1
-1,-1
-1,-1
1,1
1,-1
1,1
1,1
-1,-1
1,1
1,1
-1,-1
-1,-1
1,1
-1,-1
-1,-1
1,1
-1,-1
1,1
-1,-1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
1,1
1,1
1,1
-1,-1
-1,-1
1,1
1,1
1,1
-1,-1
-1,-1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,-1
1,1
-1,-1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
1,1
1,1
1,1
1,1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
1,1
1,1
-1,-1
1,1
1,1
1,1
1,1
-1,-1
-1,-1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
1,1
-1,-1
1,1
1,1
1,-1
1,1
1,-1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
-1,-1
-1,-1
-1,-1
1,1
1,1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
1,1
1,1
-1,-1
1,-1
1,1
-1,-1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
1,1
-1,-1
1,1
1,1
-1,-1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
1,1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
1,1
-1,-1
1,1
1,1
-1,-1
1,1
1,1
1,1
-1,1
1,1
-1,-1
-1,-1
1,-1
-1,-1
-1,-1
1,1
-1,-1
1,1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
-1,-1
-1,1
-1,-1
-1,-1
1,1
1,1
1,1
1,1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
-1,-1
1,1
-1,-1
-1,1
1,1
1,1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
1,-1
-1,-1
1,1
-1,-1
1,1
1,1
-1,-1
1,1
1,-1
1,1
1,1
1,1
-1,-1
1,1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
1,1
-1,-1
-1,-1
1,1
-1,-1
-1,-1
1,1
1,1
-1,-1
-1,-1
1,1
1,1
-1,-1
-1,-1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,-1
-1,-1
1,1
-1,-1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
1,1
1,1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
1,1
-1,-1
1,1
-1,-1
-1,-1
1,1
-1,-1
1,1
-1,-1
1,1
1,1
-1,-1
1,1
1,1
1,-1
-1,1
1,1
-1,-1
1,1
1,1
-1,-1
1,1
-1,-1
-1,1
-1,-1
-1,-1
1,-1
1,1
-1,-1
1,1
-1,-1
1,1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
1,1
-1,-1
1,1
1,1
-1,-1
1,1
-1,-1
1,1
-1,-1
-1,-1
-1,-1
1,1
1,1
1,1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
1,1
1,1
1,1
-1,-1
-1,-1
-1,-1
1,1
1,1
-1,1
1,1
1,1
-1,-1
-1,-1
1,1
-1,-1
-1,-1
1,1
-1,-1
1,1
-1,-1
1,1
1,1
1,1
-1,-1
-1,-1
-1,-1
1,1
1,1
-1,-1
-1,-1
1,1
1,1
1,1
-1,-1
-1,-1
1,1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
1,1
-1,-1
-1,-1
1,1
1,1
1,1
-1,-1
1,1
-1,-1
-1,-1
-1,-1
1,1
1,1
-1,-1
1,1
1,1
1,1
-1,-1
-1,-1
1,1
-1,-1
1,1
-1,-1
-1,-1
1,1
1,-1
-1,-1
-1,-1
-1,-1
1,1
1,1
1,1
-1,-1
1,1
1,-1
1,1
-1,-1
-1,1
1,1
1,1
-1,-1
1,-1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
-1,1
-1,-1
-1,-1
1,1
-1,-1
1,1
1,1
1,1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
1,1
1,1
1,1
1,1
-1,-1
1,1
-1,-1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
1,1
1,1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
1,1
-1,-1
1,1
-1,-1
1,1
-1,-1
1,1
-1,1
1,1
-1,-1
-1,-1
1,1
1,1
-1,-1
1,1
1,1
1,1
-1,-1
1,1
-1,-1
1,1
1,1
-1,-1
1,1
1,1
1,1
-1,-1
-1,-1
1,1
-1,-1
1,1
-1,-1
-1,-1
-1,-1
1,1
1,1
1,1
1,1
1,1
-1,-1
1,1
-1,-1
-1,-1
1,1
1,1
1,1
-1,-1
-1,-1
1,1
-1,-1
1,1
-1,-1
-1,-1
1,1
1,1
-1,-1
-1,-1
